"","DATEPRD","WELL_BORE_CODE","ON_STREAM_HRS","AVG_DOWNHOLE_PRESSURE","AVG_DOWNHOLE_TEMPERATURE","AVG_DP_TUBING","AVG_ANNULUS_PRESS","AVG_CHOKE_SIZE_P","AVG_WHP_P","AVG_WHT_P","DP_CHOKE_SIZE","BORE_OIL_VOL","class","WI1","WI2"
"2140",2011-09-04,"NO 15/9-F-12 H",24,246.163382179572,104.355085195788,205.886396265289,22.6359275,76.15487125,38.0630077083333,92.0535475,6.89045395833333,1150.13,9,6449.327713125,5539.12564791667
"2141",2011-09-05,"NO 15/9-F-14 H",24,245.417603333333,103.285493541667,204.144515833333,19.6397814113053,61.667269375,41.2730875,88.9147127083333,10.7257977083333,1714.87,3,6236.96678916667,5764.83700541667
"2142",2011-09-05,"NO 15/9-F-12 H",24,245.549401318988,104.232312377135,205.500150834263,22.4712283333333,76.1627077083333,38.2173091666667,91.4274383333333,7.060296875,1147.02,3,6236.96678916667,5764.83700541667
"2143",2011-09-06,"NO 15/9-F-14 H",24,245.430491875,103.285464791667,204.263766041667,20.9981341692433,62.3123045833333,41.1667258333333,87.6683445833333,10.6192895833333,1712.36,7,6320,5758
"2144",2011-09-06,"NO 15/9-F-12 H",24,244.672748414219,103.947121602127,204.707199098171,22.2131366666667,76.1912129166667,38.36584375,90.4362202083333,7.17994958333333,1142.99,4,6320,5758
"2145",2011-09-07,"NO 15/9-F-14 H",24,245.105075625,103.287656041667,204.254589375,20.0229286564668,63.3622177083333,40.85048625,89.1269029166667,10.281198125,1708.36,3,6155.59838125,5944.337234375
"2146",2011-09-07,"NO 15/9-F-12 H",24,247.110171540677,103.997700664205,206.470716523605,22.136616875,73.7337766666667,38.2640502083333,91.526826875,7.10103541666667,1142.6,6,6155.59838125,5944.337234375
"2147",2011-09-08,"NO 15/9-F-12 H",24,249.101039951745,103.817302800297,207.780125804293,22.1584410416667,71.544185,38.4461233333333,91.89253,7.3126325,1126.17,7,6061.97286229167,6106
"2148",2011-09-08,"NO 15/9-F-14 H",24,244.787805208333,103.290152708333,204.312083541667,20.0542236724545,64.9580958333333,40.4757216666667,89.458185625,9.89584791666667,1714.58,3,6061.97286229167,6106
"2149",2011-09-09,"NO 15/9-F-12 H",24,249.958564616696,103.719611185728,208.369998670873,22.1165522916667,70.2073645833333,38.6805441666667,92.0154033333333,7.56331270833333,1115.42,10,5901.04283083333,6227.73881583333
"2150",2011-09-09,"NO 15/9-F-14 H",24,244.877839375,103.28782625,204.424727916667,20.2148206905497,66.1077552083333,40.4531114583333,89.72363625,9.88617708333333,1718.27,9,5901.04283083333,6227.73881583333
"2151",2011-09-10,"NO 15/9-F-14 H",24,244.94692875,103.283720833333,204.592026666667,21.003570879883,66.1136545833333,40.3549020833333,88.479268125,9.80301729166667,1706.64,2,5975,6179
